Date,Transaction_ID,Description,Category,Amount,Type,Balance
2026-01-01,TXN0001,Seed Funding,Investment,5000000,Credit,5000000
2026-01-02,TXN0002,Office Rent,Housing,120000,Debit,4880000
2026-01-03,TXN0003,AWS Cloud Services,Infrastructure,85000,Debit,4795000
2026-01-04,TXN0004,Google Workspace,Software,12000,Debit,4783000
2026-01-05,TXN0005,Employee Salaries,Payroll,650000,Debit,4133000
2026-01-06,TXN0006,Client Payment Alpha,Revenue,450000,Credit,4583000
2026-01-07,TXN0007,Meta Ads,Marketing,95000,Debit,4488000
2026-01-08,TXN0008,Laptop Purchase,Equipment,320000,Debit,4168000
2026-01-09,TXN0009,Internet Services,Utilities,15000,Debit,4153000
2026-01-10,TXN0010,Client Payment Beta,Revenue,780000,Credit,4933000
2026-01-11,TXN0011,Business Travel,Travel,67000,Debit,4866000
2026-01-12,TXN0012,AWS Cloud Services,Infrastructure,92000,Debit,4774000
2026-01-13,TXN0013,Stripe Fees,Finance,12000,Debit,4762000
2026-01-14,TXN0014,Employee Salaries,Payroll,650000,Debit,4112000
2026-01-15,TXN0015,Client Payment Gamma,Revenue,950000,Credit,5062000
2026-01-16,TXN0016,Office Furniture,Equipment,180000,Debit,4882000
2026-01-17,TXN0017,Microsoft 365,Software,22000,Debit,4860000
2026-01-18,TXN0018,Marketing Campaign,Marketing,140000,Debit,4720000
2026-01-19,TXN0019,Tax Payment,Tax,350000,Debit,4370000
2026-01-20,TXN0020,Client Payment Delta,Revenue,620000,Credit,4990000
2026-01-21,TXN0021,AWS Cloud Services,Infrastructure,110000,Debit,4880000
2026-01-22,TXN0022,Employee Bonus,Payroll,200000,Debit,4680000
2026-01-23,TXN0023,Legal Consulting,Professional,95000,Debit,4585000
2026-01-24,TXN0024,Client Payment Epsilon,Revenue,890000,Credit,5475000
2026-01-25,TXN0025,Server Upgrade,Infrastructure,250000,Debit,5225000
2026-01-26,TXN0026,Recruitment Fee,HR,85000,Debit,5140000
2026-01-27,TXN0027,Employee Salaries,Payroll,650000,Debit,4490000
2026-01-28,TXN0028,Client Payment Zeta,Revenue,1250000,Credit,5740000
2026-01-29,TXN0029,Office Rent,Housing,120000,Debit,5620000
2026-01-30,TXN0030,Cybersecurity Audit,Security,175000,Debit,5445000
2026-02-01,TXN0031,Client Payment Omega,Revenue,670000,Credit,6115000
2026-02-02,TXN0032,AWS Services,Infrastructure,89000,Debit,6026000
2026-02-03,TXN0033,Employee Salaries,Payroll,650000,Debit,5376000
2026-02-04,TXN0034,Google Ads,Marketing,125000,Debit,5251000
2026-02-05,TXN0035,Office Electricity,Utilities,28000,Debit,5223000
2026-02-06,TXN0036,Client Payment Nova,Revenue,940000,Credit,6163000
2026-02-07,TXN0037,MacBook Purchase,Equipment,450000,Debit,5713000
2026-02-08,TXN0038,Travel Reimbursement,Travel,45000,Debit,5668000
2026-02-09,TXN0039,Tax Advance,Tax,300000,Debit,5368000
2026-02-10,TXN0040,Client Payment Sigma,Revenue,720000,Credit,6088000
2026-02-11,TXN0041,AWS Services,Infrastructure,97000,Debit,5991000
2026-02-12,TXN0042,Microsoft Azure,Infrastructure,76000,Debit,5915000
2026-02-13,TXN0043,Employee Salaries,Payroll,650000,Debit,5265000
2026-02-14,TXN0044,Client Payment Titan,Revenue,1350000,Credit,6615000
2026-02-15,TXN0045,Office Expansion,Housing,400000,Debit,6215000
2026-02-16,TXN0046,LinkedIn Hiring,HR,55000,Debit,6160000
2026-02-17,TXN0047,Marketing Agency,Marketing,210000,Debit,5950000
2026-02-18,TXN0048,Client Payment Vega,Revenue,840000,Credit,6790000
2026-02-19,TXN0049,Server Maintenance,Infrastructure,145000,Debit,6645000
2026-02-20,TXN0050,Employee Bonus,Payroll,180000,Debit,6465000
2026-02-21,TXN0051,Client Payment Orion,Revenue,780000,Credit,7245000
2026-02-22,TXN0052,AWS Services,Infrastructure,105000,Debit,7140000
2026-02-23,TXN0053,Software Licenses,Software,45000,Debit,7095000
2026-02-24,TXN0054,Client Payment Quantum,Revenue,990000,Credit,8085000
2026-02-25,TXN0055,Tax Payment,Tax,425000,Debit,7660000
2026-02-26,TXN0056,Office Rent,Housing,120000,Debit,7540000
2026-02-27,TXN0057,Client Payment Zenith,Revenue,1100000,Credit,8640000
2026-02-28,TXN0058,Security Audit,Security,160000,Debit,8480000
2026-03-01,TXN0059,Employee Salaries,Payroll,650000,Debit,7830000
2026-03-02,TXN0060,Client Payment Apex,Revenue,890000,Credit,8720000
